%time,Date,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815.14583,16/12/2019 03:30,NA,NA,NA,NA,NA,NA
43815.14931,16/12/2019 03:35,NA,NA,NA,NA,NA,NA
43815.15278,16/12/2019 03:40,NA,NA,NA,NA,NA,NA
43815.15625,16/12/2019 03:45,NA,NA,NA,NA,NA,NA
43815.15972,16/12/2019 03:50,NA,NA,NA,NA,NA,NA
43815.16319,16/12/2019 03:55,NA,NA,NA,NA,NA,NA
43815.16667,16/12/2019 04:00,NA,NA,NA,NA,NA,NA
43815.17014,16/12/2019 04:05,NA,NA,NA,NA,NA,NA
43815.17361,16/12/2019 04:10,NA,NA,NA,NA,NA,NA
43815.17708,16/12/2019 04:15,NA,NA,NA,NA,NA,NA
43815.18056,16/12/2019 04:20,NA,NA,NA,NA,NA,NA
43815.18403,16/12/2019 04:25,NA,NA,NA,NA,NA,NA
43815.1875,16/12/2019 04:30,NA,NA,NA,NA,NA,NA
43815.19097,16/12/2019 04:35,NA,NA,NA,NA,NA,NA
43815.19444,16/12/2019 04:40,NA,NA,NA,NA,NA,NA
43815.19792,16/12/2019 04:45,NA,NA,NA,NA,NA,NA
43815.20139,16/12/2019 04:50,NA,NA,NA,NA,NA,NA
43815.20486,16/12/2019 04:55,NA,NA,NA,NA,NA,NA
43815.20833,16/12/2019 05:00,NA,NA,NA,NA,NA,NA
43815.21181,16/12/2019 05:05,NA,NA,NA,NA,NA,NA
43815.21528,16/12/2019 05:10,NA,NA,NA,NA,NA,NA
43815.21875,16/12/2019 05:15,NA,NA,NA,NA,NA,NA
43815.22222,16/12/2019 05:20,NA,NA,NA,NA,NA,NA
43815.22569,16/12/2019 05:25,NA,NA,NA,NA,NA,NA
43815.22917,16/12/2019 05:30,NA,NA,NA,NA,NA,NA
43815.23264,16/12/2019 05:35,NA,NA,NA,NA,NA,NA
43815.23611,16/12/2019 05:40,NA,NA,NA,NA,NA,NA
43815.23958,16/12/2019 05:45,NA,NA,NA,NA,NA,NA
43815.24306,16/12/2019 05:50,NA,NA,NA,NA,NA,NA
43815.24653,16/12/2019 05:55,NA,NA,NA,NA,NA,NA
43815.25,16/12/2019 06:00,NA,NA,NA,NA,NA,NA
43815.25347,16/12/2019 06:05,NA,NA,NA,NA,NA,NA
43815.25694,16/12/2019 06:10,NA,NA,NA,NA,NA,NA
43815.26042,16/12/2019 06:15,NA,NA,NA,NA,NA,NA
43815.26389,16/12/2019 06:20,NA,NA,NA,NA,NA,NA
43815.26736,16/12/2019 06:25,NA,NA,NA,NA,NA,NA
43815.27083,16/12/2019 06:30,NA,NA,NA,NA,NA,NA
43815.27431,16/12/2019 06:35,NA,NA,NA,NA,NA,NA
43815.27778,16/12/2019 06:40,NA,NA,NA,NA,NA,NA
43815.28125,16/12/2019 06:45,NA,NA,NA,NA,NA,NA
43815.28472,16/12/2019 06:50,NA,NA,NA,NA,NA,NA
43815.28819,16/12/2019 06:55,NA,NA,NA,NA,NA,NA
43815.29167,16/12/2019 07:00,NA,NA,NA,NA,NA,NA
43815.29514,16/12/2019 07:05,NA,NA,NA,NA,NA,NA
43815.29861,16/12/2019 07:10,NA,NA,NA,NA,NA,NA
43815.30208,16/12/2019 07:15,NA,NA,NA,NA,NA,NA
43815.30556,16/12/2019 07:20,NA,NA,NA,NA,NA,NA
43815.30903,16/12/2019 07:25,NA,NA,NA,NA,NA,NA
43815.3125,16/12/2019 07:30,NA,NA,NA,NA,NA,NA
43815.31597,16/12/2019 07:35,NA,NA,NA,NA,NA,NA
43815.31944,16/12/2019 07:40,NA,NA,NA,NA,NA,NA
43815.32292,16/12/2019 07:45,NA,NA,NA,NA,NA,NA
43815.32639,16/12/2019 07:50,NA,NA,NA,NA,NA,NA
43815.32986,16/12/2019 07:55,NA,NA,NA,NA,NA,NA
43815.33333,16/12/2019 08:00,NA,NA,NA,NA,NA,NA
43815.33681,16/12/2019 08:05,NA,NA,NA,NA,NA,NA
43815.34028,16/12/2019 08:10,NA,NA,NA,NA,NA,NA
43815.34375,16/12/2019 08:15,NA,NA,NA,NA,NA,NA
43815.34722,16/12/2019 08:20,NA,NA,NA,NA,NA,NA
43815.35069,16/12/2019 08:25,NA,NA,NA,NA,NA,NA
43815.35417,16/12/2019 08:30,NA,NA,NA,NA,NA,NA
43815.35764,16/12/2019 08:35,NA,NA,NA,NA,NA,NA
43815.36111,16/12/2019 08:40,NA,NA,NA,NA,NA,NA
43815.36458,16/12/2019 08:45,NA,NA,NA,NA,NA,NA
43815.36806,16/12/2019 08:50,NA,NA,NA,NA,NA,NA
43815.37153,16/12/2019 08:55,NA,NA,NA,NA,NA,NA
43815.375,16/12/2019 09:00,NA,NA,NA,NA,NA,NA
43815.37847,16/12/2019 09:05,NA,NA,NA,NA,NA,NA
43815.38194,16/12/2019 09:10,NA,NA,NA,NA,NA,NA
43815.38542,16/12/2019 09:15,NA,NA,NA,NA,NA,NA
43815.38889,16/12/2019 09:20,NA,NA,NA,NA,NA,NA
43815.39236,16/12/2019 09:25,NA,NA,NA,NA,NA,NA
43815.39583,16/12/2019 09:30,NA,NA,NA,NA,NA,NA
43815.39931,16/12/2019 09:35,NA,NA,NA,NA,NA,NA
43815.40278,16/12/2019 09:40,NA,NA,NA,NA,NA,NA
43815.40625,16/12/2019 09:45,NA,NA,NA,NA,NA,NA
43815.40972,16/12/2019 09:50,NA,NA,NA,NA,NA,NA
43815.41319,16/12/2019 09:55,NA,NA,NA,NA,NA,NA
43815.41667,16/12/2019 10:00,NA,NA,NA,NA,NA,NA
43815.42014,16/12/2019 10:05,NA,NA,NA,NA,NA,NA
43815.42361,16/12/2019 10:10,NA,NA,NA,NA,NA,NA
43815.42708,16/12/2019 10:15,NA,NA,NA,NA,NA,NA
43815.43056,16/12/2019 10:20,NA,NA,NA,NA,NA,NA
43815.43403,16/12/2019 10:25,NA,NA,NA,NA,NA,NA
43815.4375,16/12/2019 10:30,NA,NA,NA,NA,NA,NA
43815.44097,16/12/2019 10:35,NA,NA,NA,NA,NA,NA
43815.44444,16/12/2019 10:40,NA,NA,NA,NA,NA,NA
43815.44792,16/12/2019 10:45,NA,NA,NA,NA,NA,NA
43815.45139,16/12/2019 10:50,NA,NA,NA,NA,NA,NA
43815.45486,16/12/2019 10:55,NA,NA,NA,NA,NA,NA
43815.45833,16/12/2019 11:00,NA,NA,NA,NA,NA,NA
43815.46181,16/12/2019 11:05,NA,NA,NA,NA,NA,NA
43815.46528,16/12/2019 11:10,NA,NA,NA,NA,NA,NA
43815.46875,16/12/2019 11:15,NA,NA,NA,NA,NA,NA
43815.47222,16/12/2019 11:20,NA,NA,NA,NA,NA,NA
43815.47569,16/12/2019 11:25,NA,NA,NA,NA,NA,NA
43815.47917,16/12/2019 11:30,NA,NA,NA,NA,NA,NA
43815.48264,16/12/2019 11:35,NA,NA,NA,NA,NA,NA
43815.48611,16/12/2019 11:40,NA,NA,NA,NA,NA,NA
43815.48958,16/12/2019 11:45,NA,NA,NA,NA,NA,NA
43815.49306,16/12/2019 11:50,NA,NA,NA,NA,NA,NA
43815.49653,16/12/2019 11:55,NA,NA,NA,NA,NA,NA
43815.5,16/12/2019 12:00,NA,NA,NA,NA,NA,NA
43815.50347,16/12/2019 12:05,NA,NA,NA,NA,NA,NA
43815.50694,16/12/2019 12:10,NA,NA,NA,NA,NA,NA
43815.51042,16/12/2019 12:15,NA,NA,NA,NA,NA,NA
43815.51389,16/12/2019 12:20,NA,NA,NA,NA,NA,NA
43815.51736,16/12/2019 12:25,NA,NA,NA,NA,NA,NA
43815.52083,16/12/2019 12:30,NA,NA,NA,NA,NA,NA
43815.52431,16/12/2019 12:35,NA,NA,NA,NA,NA,NA
43815.52778,16/12/2019 12:40,NA,NA,NA,NA,NA,NA
43815.53125,16/12/2019 12:45,NA,NA,NA,NA,NA,NA
43815.53472,16/12/2019 12:50,NA,NA,NA,NA,NA,NA
43815.53819,16/12/2019 12:55,NA,NA,NA,NA,NA,NA
43815.54167,16/12/2019 13:00,4.8,4.2,92.3,91.6,21.9,22.4
43815.54514,16/12/2019 13:05,NA,NA,NA,NA,NA,NA
43815.54861,16/12/2019 13:10,NA,NA,NA,NA,NA,NA
43815.55208,16/12/2019 13:15,NA,NA,NA,NA,NA,NA
43815.55556,16/12/2019 13:20,NA,NA,NA,NA,NA,NA
43815.55903,16/12/2019 13:25,NA,NA,NA,NA,NA,NA
43815.5625,16/12/2019 13:30,NA,NA,NA,NA,NA,NA
43815.56597,16/12/2019 13:35,NA,NA,NA,NA,NA,NA
43815.56944,16/12/2019 13:40,NA,NA,NA,NA,NA,NA
43815.57292,16/12/2019 13:45,NA,NA,NA,NA,NA,NA
43815.57639,16/12/2019 13:50,NA,NA,NA,NA,NA,NA
43815.57986,16/12/2019 13:55,NA,NA,NA,NA,NA,NA
43815.58333,16/12/2019 14:00,NA,NA,NA,NA,NA,NA
43815.58681,16/12/2019 14:05,NA,NA,NA,NA,NA,NA
43815.59028,16/12/2019 14:10,NA,NA,NA,NA,NA,NA
43815.59375,16/12/2019 14:15,NA,NA,NA,NA,NA,NA
43815.59722,16/12/2019 14:20,NA,NA,NA,NA,NA,NA
43815.60069,16/12/2019 14:25,NA,NA,NA,NA,NA,NA
43815.60417,16/12/2019 14:30,NA,NA,NA,NA,NA,NA
43815.60764,16/12/2019 14:35,NA,NA,NA,NA,NA,NA
43815.61111,16/12/2019 14:40,NA,NA,NA,NA,NA,NA
43815.61458,16/12/2019 14:45,NA,NA,NA,NA,NA,NA
43815.61806,16/12/2019 14:50,NA,NA,NA,NA,NA,NA
43815.62153,16/12/2019 14:55,NA,NA,NA,NA,NA,NA
43815.625,16/12/2019 15:00,NA,NA,NA,NA,NA,NA
43815.62847,16/12/2019 15:05,NA,NA,NA,NA,NA,NA
43815.63194,16/12/2019 15:10,NA,NA,NA,NA,NA,NA
43815.63542,16/12/2019 15:15,NA,NA,NA,NA,NA,NA
43815.63889,16/12/2019 15:20,NA,NA,NA,NA,NA,NA
43815.64236,16/12/2019 15:25,NA,NA,NA,NA,NA,NA
43815.64583,16/12/2019 15:30,NA,NA,NA,NA,NA,NA
43815.64931,16/12/2019 15:35,NA,NA,NA,NA,NA,NA
43815.65278,16/12/2019 15:40,NA,NA,NA,NA,NA,NA
43815.65625,16/12/2019 15:45,NA,NA,NA,NA,NA,NA
43815.65972,16/12/2019 15:50,NA,NA,NA,NA,NA,NA
43815.66319,16/12/2019 15:55,NA,NA,NA,NA,NA,NA
43815.66667,16/12/2019 16:00,NA,NA,NA,NA,NA,NA
43815.67014,16/12/2019 16:05,NA,NA,NA,NA,NA,NA
43815.67361,16/12/2019 16:10,NA,NA,NA,NA,NA,NA
43815.67708,16/12/2019 16:15,NA,NA,NA,NA,NA,NA
43815.68056,16/12/2019 16:20,NA,NA,NA,NA,NA,NA
43815.68403,16/12/2019 16:25,NA,NA,NA,NA,NA,NA
43815.6875,16/12/2019 16:30,NA,NA,NA,NA,NA,NA
43815.69097,16/12/2019 16:35,NA,NA,NA,NA,NA,NA
43815.69444,16/12/2019 16:40,NA,NA,NA,NA,NA,NA
43815.69792,16/12/2019 16:45,NA,NA,NA,NA,NA,NA
43815.70139,16/12/2019 16:50,NA,NA,NA,NA,NA,NA
43815.70486,16/12/2019 16:55,NA,NA,NA,NA,NA,NA
43815.70833,16/12/2019 17:00,NA,NA,NA,NA,NA,NA
43815.71181,16/12/2019 17:05,NA,NA,NA,NA,NA,NA
43815.71528,16/12/2019 17:10,NA,NA,NA,NA,NA,NA
43815.71875,16/12/2019 17:15,NA,NA,NA,NA,NA,NA
43815.72222,16/12/2019 17:20,NA,NA,NA,NA,NA,NA
43815.72569,16/12/2019 17:25,NA,NA,NA,NA,NA,NA
43815.72917,16/12/2019 17:30,NA,NA,NA,NA,NA,NA
43815.73264,16/12/2019 17:35,NA,NA,NA,NA,NA,NA
43815.73611,16/12/2019 17:40,NA,NA,NA,NA,NA,NA
43815.73958,16/12/2019 17:45,NA,NA,NA,NA,NA,NA
43815.74306,16/12/2019 17:50,NA,NA,NA,NA,NA,NA
43815.74653,16/12/2019 17:55,NA,NA,NA,NA,NA,NA
43815.75,16/12/2019 18:00,NA,NA,NA,NA,NA,NA
43815.75347,16/12/2019 18:05,NA,NA,NA,NA,NA,NA
43815.75694,16/12/2019 18:10,NA,NA,NA,NA,NA,NA
43815.76042,16/12/2019 18:15,NA,NA,NA,NA,NA,NA
43815.76389,16/12/2019 18:20,NA,NA,NA,NA,NA,NA
43815.76736,16/12/2019 18:25,NA,NA,NA,NA,NA,NA
43815.77083,16/12/2019 18:30,NA,NA,NA,NA,NA,NA
43815.77431,16/12/2019 18:35,NA,NA,NA,NA,NA,NA
43815.77778,16/12/2019 18:40,NA,NA,NA,NA,NA,NA
43815.78125,16/12/2019 18:45,NA,NA,NA,NA,NA,NA
43815.78472,16/12/2019 18:50,NA,NA,NA,NA,NA,NA
43815.78819,16/12/2019 18:55,NA,NA,NA,NA,NA,NA
43815.79167,16/12/2019 19:00,NA,NA,NA,NA,NA,NA
43815.79514,16/12/2019 19:05,NA,NA,NA,NA,NA,NA
43815.79861,16/12/2019 19:10,NA,NA,NA,NA,NA,NA
43815.80208,16/12/2019 19:15,NA,NA,NA,NA,NA,NA
43815.80556,16/12/2019 19:20,NA,NA,NA,NA,NA,NA
43815.80903,16/12/2019 19:25,NA,NA,NA,NA,NA,NA
43815.8125,16/12/2019 19:30,NA,NA,NA,NA,NA,NA
43815.81597,16/12/2019 19:35,NA,NA,NA,NA,NA,NA
43815.81944,16/12/2019 19:40,NA,NA,NA,NA,NA,NA
43815.82292,16/12/2019 19:45,NA,NA,NA,NA,NA,NA
43815.82639,16/12/2019 19:50,NA,NA,NA,NA,NA,NA
43815.82986,16/12/2019 19:55,NA,NA,NA,NA,NA,NA
43815.83333,16/12/2019 20:00,NA,NA,NA,NA,NA,NA
43815.83681,16/12/2019 20:05,NA,NA,NA,NA,NA,NA
43815.84028,16/12/2019 20:10,NA,NA,NA,NA,NA,NA
43815.84375,16/12/2019 20:15,NA,NA,NA,NA,NA,NA
43815.84722,16/12/2019 20:20,NA,NA,NA,NA,NA,NA
43815.85069,16/12/2019 20:25,NA,NA,NA,NA,NA,NA
43815.85417,16/12/2019 20:30,NA,NA,NA,NA,NA,NA
43815.85764,16/12/2019 20:35,NA,NA,NA,NA,NA,NA
43815.86111,16/12/2019 20:40,NA,NA,NA,NA,NA,NA
43815.86458,16/12/2019 20:45,NA,NA,NA,NA,NA,NA
43815.86806,16/12/2019 20:50,NA,NA,NA,NA,NA,NA
43815.87153,16/12/2019 20:55,NA,NA,NA,NA,NA,NA
43815.875,16/12/2019 21:00,NA,NA,NA,NA,NA,NA
43815.87847,16/12/2019 21:05,NA,NA,NA,NA,NA,NA
43815.88194,16/12/2019 21:10,NA,NA,NA,NA,NA,NA
43815.88542,16/12/2019 21:15,NA,NA,NA,NA,NA,NA
43815.88889,16/12/2019 21:20,NA,NA,NA,NA,NA,NA
43815.89236,16/12/2019 21:25,NA,NA,NA,NA,NA,NA
43815.89583,16/12/2019 21:30,NA,NA,NA,NA,NA,NA
43815.89931,16/12/2019 21:35,NA,NA,NA,NA,NA,NA
43815.90278,16/12/2019 21:40,NA,NA,NA,NA,NA,NA
43815.90625,16/12/2019 21:45,NA,NA,NA,NA,NA,NA
43815.90972,16/12/2019 21:50,NA,NA,NA,NA,NA,NA
43815.91319,16/12/2019 21:55,NA,NA,NA,NA,NA,NA
43815.91667,16/12/2019 22:00,NA,NA,NA,NA,NA,NA
43815.92014,16/12/2019 22:05,NA,NA,NA,NA,NA,NA
43815.92361,16/12/2019 22:10,NA,NA,NA,NA,NA,NA
43815.92708,16/12/2019 22:15,NA,NA,NA,NA,NA,NA
43815.93056,16/12/2019 22:20,NA,NA,NA,NA,NA,NA
43815.93403,16/12/2019 22:25,NA,NA,NA,NA,NA,NA
43815.9375,16/12/2019 22:30,NA,NA,NA,NA,NA,NA
43815.94097,16/12/2019 22:35,NA,NA,NA,NA,NA,NA
43815.94444,16/12/2019 22:40,NA,NA,NA,NA,NA,NA
43815.94792,16/12/2019 22:45,NA,NA,NA,NA,NA,NA
43815.95139,16/12/2019 22:50,NA,NA,NA,NA,NA,NA
43815.95486,16/12/2019 22:55,NA,NA,NA,NA,NA,NA
43815.95833,16/12/2019 23:00,NA,NA,NA,NA,NA,NA
43815.96181,16/12/2019 23:05,NA,NA,NA,NA,NA,NA
43815.96528,16/12/2019 23:10,NA,NA,NA,NA,NA,NA
43815.96875,16/12/2019 23:15,NA,NA,NA,NA,NA,NA
43815.97222,16/12/2019 23:20,NA,NA,NA,NA,NA,NA
43815.97569,16/12/2019 23:25,NA,NA,NA,NA,NA,NA
43815.97917,16/12/2019 23:30,NA,NA,NA,NA,NA,NA
43815.98264,16/12/2019 23:35,NA,NA,NA,NA,NA,NA
43815.98611,16/12/2019 23:40,NA,NA,NA,NA,NA,NA
43815.98958,16/12/2019 23:45,NA,NA,NA,NA,NA,NA
43815.99306,16/12/2019 23:50,NA,NA,NA,NA,NA,NA
43815.99653,16/12/2019 23:55,NA,NA,NA,NA,NA,NA
43816,17/12/2019 00:00,NA,NA,NA,NA,NA,NA
43816.00347,17/12/2019 00:05,NA,NA,NA,NA,NA,NA
43816.00694,17/12/2019 00:10,NA,NA,NA,NA,NA,NA
43816.01042,17/12/2019 00:15,NA,NA,NA,NA,NA,NA
43816.01389,17/12/2019 00:20,NA,NA,NA,NA,NA,NA
43816.01736,17/12/2019 00:25,NA,NA,NA,NA,NA,NA
43816.02083,17/12/2019 00:30,NA,NA,NA,NA,NA,NA
43816.02431,17/12/2019 00:35,NA,NA,NA,NA,NA,NA
43816.02778,17/12/2019 00:40,NA,NA,NA,NA,NA,NA
43816.03125,17/12/2019 00:45,NA,NA,NA,NA,NA,NA
43816.03472,17/12/2019 00:50,NA,NA,NA,NA,NA,NA
43816.03819,17/12/2019 00:55,NA,NA,NA,NA,NA,NA
43816.04167,17/12/2019 01:00,NA,NA,NA,NA,NA,NA
43816.04514,17/12/2019 01:05,NA,NA,NA,NA,NA,NA
43816.04861,17/12/2019 01:10,NA,NA,NA,NA,NA,NA
43816.05208,17/12/2019 01:15,NA,NA,NA,NA,NA,NA
43816.05556,17/12/2019 01:20,NA,NA,NA,NA,NA,NA
43816.05903,17/12/2019 01:25,NA,NA,NA,NA,NA,NA
43816.0625,17/12/2019 01:30,NA,NA,NA,NA,NA,NA
43816.06597,17/12/2019 01:35,NA,NA,NA,NA,NA,NA
43816.06944,17/12/2019 01:40,NA,NA,NA,NA,NA,NA
43816.07292,17/12/2019 01:45,NA,NA,NA,NA,NA,NA
43816.07639,17/12/2019 01:50,NA,NA,NA,NA,NA,NA
43816.07986,17/12/2019 01:55,NA,NA,NA,NA,NA,NA
43816.08333,17/12/2019 02:00,NA,NA,NA,NA,NA,NA
43816.08681,17/12/2019 02:05,NA,NA,NA,NA,NA,NA
43816.09028,17/12/2019 02:10,NA,NA,NA,NA,NA,NA
43816.09375,17/12/2019 02:15,NA,NA,NA,NA,NA,NA
43816.09722,17/12/2019 02:20,NA,NA,NA,NA,NA,NA
43816.10069,17/12/2019 02:25,NA,NA,NA,NA,NA,NA
43816.10417,17/12/2019 02:30,NA,NA,NA,NA,NA,NA
43816.10764,17/12/2019 02:35,NA,NA,NA,NA,NA,NA
43816.11111,17/12/2019 02:40,NA,NA,NA,NA,NA,NA
43816.11458,17/12/2019 02:45,NA,NA,NA,NA,NA,NA
43816.11806,17/12/2019 02:50,NA,NA,NA,NA,NA,NA
43816.12153,17/12/2019 02:55,NA,NA,NA,NA,NA,NA
43816.125,17/12/2019 03:00,NA,NA,NA,NA,NA,NA
43816.12847,17/12/2019 03:05,NA,NA,NA,NA,NA,NA
43816.13194,17/12/2019 03:10,NA,NA,NA,NA,NA,NA
43816.13542,17/12/2019 03:15,NA,NA,NA,NA,NA,NA
43816.13889,17/12/2019 03:20,NA,NA,NA,NA,NA,NA
43816.14236,17/12/2019 03:25,NA,NA,NA,NA,NA,NA
43816.14583,17/12/2019 03:30,NA,NA,NA,NA,NA,NA
43816.14931,17/12/2019 03:35,NA,NA,NA,NA,NA,NA
43816.15278,17/12/2019 03:40,NA,NA,NA,NA,NA,NA
43816.15625,17/12/2019 03:45,NA,NA,NA,NA,NA,NA
43816.15972,17/12/2019 03:50,NA,NA,NA,NA,NA,NA
43816.16319,17/12/2019 03:55,NA,NA,NA,NA,NA,NA
43816.16667,17/12/2019 04:00,NA,NA,NA,NA,NA,NA
43816.17014,17/12/2019 04:05,NA,NA,NA,NA,NA,NA
43816.17361,17/12/2019 04:10,NA,NA,NA,NA,NA,NA
43816.17708,17/12/2019 04:15,NA,NA,NA,NA,NA,NA
43816.18056,17/12/2019 04:20,NA,NA,NA,NA,NA,NA
43816.18403,17/12/2019 04:25,NA,NA,NA,NA,NA,NA
43816.1875,17/12/2019 04:30,NA,NA,NA,NA,NA,NA
43816.19097,17/12/2019 04:35,NA,NA,NA,NA,NA,NA
43816.19444,17/12/2019 04:40,NA,NA,NA,NA,NA,NA
43816.19792,17/12/2019 04:45,NA,NA,NA,NA,NA,NA
43816.20139,17/12/2019 04:50,NA,NA,NA,NA,NA,NA
43816.20486,17/12/2019 04:55,NA,NA,NA,NA,NA,NA
43816.20833,17/12/2019 05:00,NA,NA,NA,NA,NA,NA
43816.21181,17/12/2019 05:05,NA,NA,NA,NA,NA,NA
43816.21528,17/12/2019 05:10,NA,NA,NA,NA,NA,NA
43816.21875,17/12/2019 05:15,NA,NA,NA,NA,NA,NA
43816.22222,17/12/2019 05:20,NA,NA,NA,NA,NA,NA
43816.22569,17/12/2019 05:25,NA,NA,NA,NA,NA,NA
43816.22917,17/12/2019 05:30,NA,NA,NA,NA,NA,NA
43816.23264,17/12/2019 05:35,NA,NA,NA,NA,NA,NA
43816.23611,17/12/2019 05:40,NA,NA,NA,NA,NA,NA
43816.23958,17/12/2019 05:45,NA,NA,NA,NA,NA,NA
43816.24306,17/12/2019 05:50,NA,NA,NA,NA,NA,NA
43816.24653,17/12/2019 05:55,NA,NA,NA,NA,NA,NA
43816.25,17/12/2019 06:00,NA,NA,NA,NA,NA,NA
43816.25347,17/12/2019 06:05,NA,NA,NA,NA,NA,NA
43816.25694,17/12/2019 06:10,NA,NA,NA,NA,NA,NA
43816.26042,17/12/2019 06:15,NA,NA,NA,NA,NA,NA
43816.26389,17/12/2019 06:20,NA,NA,NA,NA,NA,NA
43816.26736,17/12/2019 06:25,NA,NA,NA,NA,NA,NA
43816.27083,17/12/2019 06:30,NA,NA,NA,NA,NA,NA
43816.27431,17/12/2019 06:35,NA,NA,NA,NA,NA,NA
43816.27778,17/12/2019 06:40,NA,NA,NA,NA,NA,NA
43816.28125,17/12/2019 06:45,NA,NA,NA,NA,NA,NA
43816.28472,17/12/2019 06:50,NA,NA,NA,NA,NA,NA
43816.28819,17/12/2019 06:55,NA,NA,NA,NA,NA,NA
43816.29167,17/12/2019 07:00,NA,NA,NA,NA,NA,NA
43816.29514,17/12/2019 07:05,NA,NA,NA,NA,NA,NA
43816.29861,17/12/2019 07:10,NA,NA,NA,NA,NA,NA
43816.30208,17/12/2019 07:15,NA,NA,NA,NA,NA,NA
43816.30556,17/12/2019 07:20,NA,NA,NA,NA,NA,NA
43816.30903,17/12/2019 07:25,NA,NA,NA,NA,NA,NA
43816.3125,17/12/2019 07:30,NA,NA,NA,NA,NA,NA
43816.31597,17/12/2019 07:35,NA,NA,NA,NA,NA,NA
43816.31944,17/12/2019 07:40,NA,NA,NA,NA,NA,NA
43816.32292,17/12/2019 07:45,NA,NA,NA,NA,NA,NA
43816.32639,17/12/2019 07:50,NA,NA,NA,NA,NA,NA
43816.32986,17/12/2019 07:55,NA,NA,NA,NA,NA,NA
43816.33333,17/12/2019 08:00,NA,NA,NA,NA,NA,NA
43816.33681,17/12/2019 08:05,NA,NA,NA,NA,NA,NA
43816.34028,17/12/2019 08:10,NA,NA,NA,NA,NA,NA
43816.34375,17/12/2019 08:15,NA,NA,NA,NA,NA,NA
43816.34722,17/12/2019 08:20,NA,NA,NA,NA,NA,NA
43816.35069,17/12/2019 08:25,NA,NA,NA,NA,NA,NA
43816.35417,17/12/2019 08:30,NA,NA,NA,NA,NA,NA
43816.35764,17/12/2019 08:35,NA,NA,NA,NA,NA,NA
43816.36111,17/12/2019 08:40,NA,NA,NA,NA,NA,NA
43816.36458,17/12/2019 08:45,4.9,4.3,92,91.2,18.4,18.6
43816.36806,17/12/2019 08:50,4.9,4.3,91.9,90.9,18.4,18.6
43816.37153,17/12/2019 08:55,4.9,4.3,92,91,18.4,18.6
43816.375,17/12/2019 09:00,4.9,4.3,91.8,91.1,18.4,18.7
